epsilon,sequence_index,method,horizon_steps,horizon_error_rad_s
0.02,10,calibrated_physics,50,9.344447391868016e-06
0.02,10,calibrated_physics,100,0.00010008443632614217
0.02,10,calibrated_physics,200,0.0007626402106382102
0.02,11,rk4_oracle,10,0.0
0.02,11,rk4_oracle,50,0.0
0.02,11,rk4_oracle,100,0.0
0.02,11,rk4_oracle,200,0.0
0.02,11,nominal_physics,10,73.99643753087003
0.02,11,nominal_physics,50,224.48379389103505
0.02,11,nominal_physics,100,262.5299201829928
0.02,11,nominal_physics,200,226.22727946752642
0.02,11,calibrated_physics,10,4.081243787368294e-09
0.02,11,calibrated_physics,50,1.5223921991491807e-05
0.02,11,calibrated_physics,100,0.00016130914121958995
0.02,11,calibrated_physics,200,0.001204242953207313
0.02,12,rk4_oracle,10,0.0
0.02,12,rk4_oracle,50,0.0
0.02,12,rk4_oracle,100,0.0
0.02,12,rk4_oracle,200,0.0
0.02,12,nominal_physics,10,79.54760859009451
0.02,12,nominal_physics,50,242.53571161198425
0.02,12,nominal_physics,100,285.8476205061157
0.02,12,nominal_physics,200,250.9369616964791
0.02,12,calibrated_physics,10,3.3068658922275063e-09
0.02,12,calibrated_physics,50,1.3543739555643697e-05
0.02,12,calibrated_physics,100,0.00014496254408413733
0.02,12,calibrated_physics,200,0.00110317896911738
0.02,13,rk4_oracle,10,0.0
0.02,13,rk4_oracle,50,0.0
0.02,13,rk4_oracle,100,0.0
0.02,13,rk4_oracle,200,0.0
0.02,13,nominal_physics,10,78.38475287767773
0.02,13,nominal_physics,50,236.3059505013133
0.02,13,nominal_physics,100,273.6856351115652
0.02,13,nominal_physics,200,230.42924039286837
0.02,13,calibrated_physics,10,5.971116934233578e-09
0.02,13,calibrated_physics,50,1.9998265031517803e-05
0.02,13,calibrated_physics,100,0.0002091925357490254
0.02,13,calibrated_physics,200,0.0015241916159993707
0.02,14,rk4_oracle,10,0.0
0.02,14,rk4_oracle,50,0.0
0.02,14,rk4_oracle,100,0.0
0.02,14,rk4_oracle,200,0.0
0.02,14,nominal_physics,10,67.64609618616845
0.02,14,nominal_physics,50,206.98389102469565
0.02,14,nominal_physics,100,245.29377504653314
0.02,14,nominal_physics,200,218.18884226191744
0.02,14,calibrated_physics,10,1.938417426572414e-09
0.02,14,calibrated_physics,50,8.529946285307233e-06
0.02,14,calibrated_physics,100,9.196470324468464e-05
0.02,14,calibrated_physics,200,0.0007096283490000133
0.02,15,rk4_oracle,10,0.0
0.02,15,rk4_oracle,50,0.0
0.02,15,rk4_oracle,100,0.0
0.02,15,rk4_oracle,200,0.0
0.02,15,nominal_physics,10,66.56858512329728
0.02,15,nominal_physics,50,202.69333369163058
0.02,15,nominal_physics,100,238.39713184622985
0.02,15,nominal_physics,200,208.2436776140106
0.02,15,calibrated_physics,10,2.6634552341420203e-09
0.02,15,calibrated_physics,50,1.0636235117544857e-05
0.02,15,calibrated_physics,100,0.00011354494654369773
0.02,15,calibrated_physics,200,0.000859791449045133
0.02,16,rk4_oracle,10,0.0
0.02,16,rk4_oracle,50,0.0
0.02,16,rk4_oracle,100,0.0
0.02,16,rk4_oracle,200,0.0
0.02,16,nominal_physics,10,81.64691869402736
0.02,16,nominal_physics,50,247.80549635405785
0.02,16,nominal_physics,100,290.00914731006327
0.02,16,nominal_physics,200,250.33714129581162
0.02,16,calibrated_physics,10,4.497735517361434e-09
0.02,16,calibrated_physics,50,1.691031059181114e-05
0.02,16,calibrated_physics,100,0.00017932743674009544
0.02,16,calibrated_physics,200,0.001340881914018155
0.02,17,rk4_oracle,10,0.0
0.02,17,rk4_oracle,50,0.0
0.02,17,rk4_oracle,100,0.0
0.02,17,rk4_oracle,200,0.0
0.02,17,nominal_physics,10,78.79546743233976
0.02,17,nominal_physics,50,237.18237573761354
0.02,17,nominal_physics,100,274.05517813668166
0.02,17,nominal_physics,200,229.44389848785252
0.02,17,calibrated_physics,10,6.545178621308878e-09
0.02,17,calibrated_physics,50,2.1380409123139543e-05
0.02,17,calibrated_physics,100,0.0002229615431019738
0.02,17,calibrated_physics,200,0.001615076594077891
0.02,18,rk4_oracle,10,0.0
0.02,18,rk4_oracle,50,0.0
0.02,18,rk4_oracle,100,0.0
0.02,18,rk4_oracle,200,0.0
0.02,18,nominal_physics,10,82.2879821112794
0.02,18,nominal_physics,50,251.00953110614606
0.02,18,nominal_physics,100,296.05273954617473
0.02,18,nominal_physics,200,260.3616003271188
0.02,18,calibrated_physics,10,3.1362219488073606e-09
0.02,18,calibrated_physics,50,1.2954770511441893e-05
0.02,18,calibrated_physics,100,0.00013877935384698503
0.02,18,calibrated_physics,200,0.001057875959077137
0.02,19,rk4_oracle,10,0.0
0.02,19,rk4_oracle,50,0.0
0.02,19,rk4_oracle,100,0.0
0.02,19,rk4_oracle,200,0.0
0.02,19,nominal_physics,10,80.15161385327423
0.02,19,nominal_physics,50,243.73225017641494
0.02,19,nominal_physics,100,286.0874808278999
0.02,19,nominal_physics,200,248.71383391583853
0.02,19,calibrated_physics,10,3.5691414268512744e-09
0.02,19,calibrated_physics,50,1.3888782291360258e-05
0.02,19,calibrated_physics,100,0.0001478454083780889
0.02,19,calibrated_physics,200,0.0011134808619885916
0.02,20,rk4_oracle,10,0.0
0.02,20,rk4_oracle,50,0.0
0.02,20,rk4_oracle,100,0.0
0.02,20,rk4_oracle,200,0.0
0.02,20,nominal_physics,10,71.38525382178528
0.02,20,nominal_physics,50,216.95130447110654
0.02,20,nominal_physics,100,254.4267311495249
0.02,20,nominal_physics,200,220.710939611132
0.02,20,calibrated_physics,10,3.2872549127205275e-09
0.02,20,calibrated_physics,50,1.2675237201165146e-05
0.02,20,calibrated_physics,100,0.00013478807414912808
0.02,20,calibrated_physics,200,0.0010131522499250423
0.02,21,rk4_oracle,10,0.0
0.02,21,rk4_oracle,50,0.0
0.02,21,rk4_oracle,100,0.0
0.02,21,rk4_oracle,200,0.0
0.02,21,nominal_physics,10,65.05639373529908
0.02,21,nominal_physics,50,196.81733807806427
0.02,21,nominal_physics,100,229.19535792117605
0.02,21,nominal_physics,200,195.5073553265603
0.02,21,calibrated_physics,10,3.2852653930603992e-09
0.02,21,calibrated_physics,50,1.1662648716992408e-05
